Statistic Label,Census Year,Garda District,Age,Sex,UNIT, VALUE 
Population,2011,Pearse Street,Age 70-74,Males,Number, 201 
Population,2011,Pearse Street,Age 70-74,Females,Number, 204 
Population,2011,Pearse Street,Age 75-79,Males,Number, 92 
Population,2011,Pearse Street,Age 75-79,Females,Number, 125 
Population,2011,Pearse Street,Age 80-84,Males,Number, 53 
Population,2011,Pearse Street,Age 80-84,Females,Number, 87 
Population,2011,Pearse Street,Age 85 and over,Males,Number, 42 
Population,2011,Pearse Street,Age 85 and over,Females,Number, 58 
Population,2011,Kevin Street,Age 0,Males,Number, 379 
Population,2011,Kevin Street,Age 0,Females,Number, 391 
Population,2011,Kevin Street,Age 1,Males,Number, 369 
Population,2011,Kevin Street,Age 1,Females,Number, 325 
Population,2011,Kevin Street,Age 2,Males,Number, 304 
Population,2011,Kevin Street,Age 2,Females,Number, 275 
Population,2011,Kevin Street,Age 3,Males,Number, 277 
Population,2011,Kevin Street,Age 3,Females,Number, 256 
Population,2011,Kevin Street,Age 4,Males,Number, 234 
Population,2011,Kevin Street,Age 4,Females,Number, 244 
Population,2011,Kevin Street,Age 5,Males,Number, 201 
Population,2011,Kevin Street,Age 5,Females,Number, 216 
Population,2011,Kevin Street,Age 6,Males,Number, 197 
Population,2011,Kevin Street,Age 6,Females,Number, 211 
Population,2011,Kevin Street,Age 7,Males,Number, 223 
Population,2011,Kevin Street,Age 7,Females,Number, 188 
Population,2011,Kevin Street,Age 8,Males,Number, 202 
Population,2011,Kevin Street,Age 8,Females,Number, 201 
Population,2011,Kevin Street,Age 9,Males,Number, 171 
Population,2011,Kevin Street,Age 9,Females,Number, 178 
Population,2011,Kevin Street,Age 10,Males,Number, 173 
Population,2011,Kevin Street,Age 10,Females,Number, 164 
Population,2011,Kevin Street,Age 11,Males,Number, 166 
Population,2011,Kevin Street,Age 11,Females,Number, 147 
Population,2011,Kevin Street,Age 12,Males,Number, 175 
Population,2011,Kevin Street,Age 12,Females,Number, 151 
Population,2011,Kevin Street,Age 13,Males,Number, 145 
Population,2011,Kevin Street,Age 13,Females,Number, 173 
Population,2011,Kevin Street,Age 14,Males,Number, 147 
Population,2011,Kevin Street,Age 14,Females,Number, 153 
Population,2011,Kevin Street,Age 15,Males,Number, 181 
Population,2011,Kevin Street,Age 15,Females,Number, 152 
Population,2011,Kevin Street,Age 16,Males,Number, 164 
Population,2011,Kevin Street,Age 16,Females,Number, 154 
Population,2011,Kevin Street,Age 17,Males,Number, 182 
Population,2011,Kevin Street,Age 17,Females,Number, 223 
Population,2011,Kevin Street,Age 18,Males,Number, 272 
Population,2011,Kevin Street,Age 18,Females,Number, 266 
Population,2011,Kevin Street,Age 19,Males,Number, 332 
Population,2011,Kevin Street,Age 19,Females,Number, 412 
Population,2011,Kevin Street,Age 20-24,Males,Number," 2,739 "
Population,2011,Kevin Street,Age 20-24,Females,Number," 3,205 "
Population,2011,Kevin Street,Age 25-29,Males,Number," 3,971 "
Population,2011,Kevin Street,Age 25-29,Females,Number," 4,146 "
Population,2011,Kevin Street,Age 30-34,Males,Number," 3,894 "
Population,2011,Kevin Street,Age 30-34,Females,Number," 3,690 "
Population,2011,Kevin Street,Age 35-39,Males,Number," 2,667 "
Population,2011,Kevin Street,Age 35-39,Females,Number," 2,355 "
Population,2011,Kevin Street,Age 40-44,Males,Number," 1,899 "
Population,2011,Kevin Street,Age 40-44,Females,Number," 1,614 "
Population,2011,Kevin Street,Age 45-49,Males,Number," 1,461 "
Population,2011,Kevin Street,Age 45-49,Females,Number," 1,318 "
Population,2011,Kevin Street,Age 50-54,Males,Number," 1,235 "
Population,2011,Kevin Street,Age 50-54,Females,Number," 1,148 "
Population,2011,Kevin Street,Age 55-59,Males,Number," 1,076 "
Population,2011,Kevin Street,Age 55-59,Females,Number, 971 
Population,2011,Kevin Street,Age 60-64,Males,Number, 978 
Population,2011,Kevin Street,Age 60-64,Females,Number, 873 
Population,2011,Kevin Street,Age 65-69,Males,Number, 672 
Population,2011,Kevin Street,Age 65-69,Females,Number, 652 
Population,2011,Kevin Street,Age 70-74,Males,Number, 530 
Population,2011,Kevin Street,Age 70-74,Females,Number, 563 
Population,2011,Kevin Street,Age 75-79,Males,Number, 389 
Population,2011,Kevin Street,Age 75-79,Females,Number, 546 
Population,2011,Kevin Street,Age 80-84,Males,Number, 296 
Population,2011,Kevin Street,Age 80-84,Females,Number, 497 
Population,2011,Kevin Street,Age 85 and over,Males,Number, 163 
Population,2011,Kevin Street,Age 85 and over,Females,Number, 457 
Population,2011,Donnybrook,Age 0,Males,Number, 309 
Population,2011,Donnybrook,Age 0,Females,Number, 294 
Population,2011,Donnybrook,Age 1,Males,Number, 296 
Population,2011,Donnybrook,Age 1,Females,Number, 247 
Population,2011,Donnybrook,Age 2,Males,Number, 255 
Population,2011,Donnybrook,Age 2,Females,Number, 232 
Population,2011,Donnybrook,Age 3,Males,Number, 233 
Population,2011,Donnybrook,Age 3,Females,Number, 252 
Population,2011,Donnybrook,Age 4,Males,Number, 194 
Population,2011,Donnybrook,Age 4,Females,Number, 213 
Population,2011,Donnybrook,Age 5,Males,Number, 208 
Population,2011,Donnybrook,Age 5,Females,Number, 201 
Population,2011,Donnybrook,Age 6,Males,Number, 201 
Population,2011,Donnybrook,Age 6,Females,Number, 182 
Population,2011,Donnybrook,Age 7,Males,Number, 197 
Population,2011,Donnybrook,Age 7,Females,Number, 191 
Population,2011,Donnybrook,Age 8,Males,Number, 181 
Population,2011,Donnybrook,Age 8,Females,Number, 150 
Population,2011,Donnybrook,Age 9,Males,Number, 186 
Population,2011,Donnybrook,Age 9,Females,Number, 192 
Population,2011,Donnybrook,Age 10,Males,Number, 192 
Population,2011,Donnybrook,Age 10,Females,Number, 172 
Population,2011,Donnybrook,Age 11,Males,Number, 175 
Population,2011,Donnybrook,Age 11,Females,Number, 174 
Population,2011,Donnybrook,Age 12,Males,Number, 196 
Population,2011,Donnybrook,Age 12,Females,Number, 189 
Population,2011,Donnybrook,Age 13,Males,Number, 188 
Population,2011,Donnybrook,Age 13,Females,Number, 177 
Population,2011,Donnybrook,Age 14,Males,Number, 206 
Population,2011,Donnybrook,Age 14,Females,Number, 198 
Population,2011,Donnybrook,Age 15,Males,Number, 158 
Population,2011,Donnybrook,Age 15,Females,Number, 189 
Population,2011,Donnybrook,Age 16,Males,Number, 174 
Population,2011,Donnybrook,Age 16,Females,Number, 147 
Population,2011,Donnybrook,Age 17,Males,Number, 205 
Population,2011,Donnybrook,Age 17,Females,Number, 202 
Population,2011,Donnybrook,Age 18,Males,Number, 334 
Population,2011,Donnybrook,Age 18,Females,Number, 351 
Population,2011,Donnybrook,Age 19,Males,Number, 492 
Population,2011,Donnybrook,Age 19,Females,Number, 605 
Population,2011,Donnybrook,Age 20-24,Males,Number," 2,323 "
Population,2011,Donnybrook,Age 20-24,Females,Number," 2,755 "
Population,2011,Donnybrook,Age 25-29,Males,Number," 3,363 "
Population,2011,Donnybrook,Age 25-29,Females,Number," 3,912 "
Population,2011,Donnybrook,Age 30-34,Males,Number," 3,118 "
Population,2011,Donnybrook,Age 30-34,Females,Number," 3,236 "
Population,2011,Donnybrook,Age 35-39,Males,Number," 2,148 "
Population,2011,Donnybrook,Age 35-39,Females,Number," 2,113 "
Population,2011,Donnybrook,Age 40-44,Males,Number," 1,608 "
Population,2011,Donnybrook,Age 40-44,Females,Number," 1,617 "
Population,2011,Donnybrook,Age 45-49,Males,Number," 1,392 "
Population,2011,Donnybrook,Age 45-49,Females,Number," 1,533 "
Population,2011,Donnybrook,Age 50-54,Males,Number," 1,289 "
Population,2011,Donnybrook,Age 50-54,Females,Number," 1,408 "
Population,2011,Donnybrook,Age 55-59,Males,Number," 1,177 "
Population,2011,Donnybrook,Age 55-59,Females,Number," 1,236 "
Population,2011,Donnybrook,Age 60-64,Males,Number," 1,111 "
Population,2011,Donnybrook,Age 60-64,Females,Number," 1,147 "
Population,2011,Donnybrook,Age 65-69,Males,Number, 802 
Population,2011,Donnybrook,Age 65-69,Females,Number, 953 
Population,2011,Donnybrook,Age 70-74,Males,Number, 640 
Population,2011,Donnybrook,Age 70-74,Females,Number, 787 
Population,2011,Donnybrook,Age 75-79,Males,Number, 510 
Population,2011,Donnybrook,Age 75-79,Females,Number, 819 
Population,2011,Donnybrook,Age 80-84,Males,Number, 367 
Population,2011,Donnybrook,Age 80-84,Females,Number, 730 
Population,2011,Donnybrook,Age 85 and over,Males,Number, 301 
Population,2011,Donnybrook,Age 85 and over,Females,Number, 834 
Population,2011,Crumlin,Age 0,Males,Number, 338 
Population,2011,Crumlin,Age 0,Females,Number, 326 
Population,2011,Crumlin,Age 1,Males,Number, 294 
Population,2011,Crumlin,Age 1,Females,Number, 312 
Population,2011,Crumlin,Age 2,Males,Number, 261 
Population,2011,Crumlin,Age 2,Females,Number, 263 
Population,2011,Crumlin,Age 3,Males,Number, 287 
Population,2011,Crumlin,Age 3,Females,Number, 288 
Population,2011,Crumlin,Age 4,Males,Number, 260 
Population,2011,Crumlin,Age 4,Females,Number, 255 
Population,2011,Crumlin,Age 5,Males,Number, 272 
Population,2011,Crumlin,Age 5,Females,Number, 271 
Population,2011,Crumlin,Age 6,Males,Number, 258 
Population,2011,Crumlin,Age 6,Females,Number, 249 
Population,2011,Crumlin,Age 7,Males,Number, 255 
Population,2011,Crumlin,Age 7,Females,Number, 239 
Population,2011,Crumlin,Age 8,Males,Number, 284 
Population,2011,Crumlin,Age 8,Females,Number, 245 
Population,2011,Crumlin,Age 9,Males,Number, 235 
Population,2011,Crumlin,Age 9,Females,Number, 263 
Population,2011,Crumlin,Age 10,Males,Number, 296 
Population,2011,Crumlin,Age 10,Females,Number, 234 
Population,2011,Crumlin,Age 11,Males,Number, 266 
Population,2011,Crumlin,Age 11,Females,Number, 257 
Population,2011,Crumlin,Age 12,Males,Number, 295 
Population,2011,Crumlin,Age 12,Females,Number, 279 
Population,2011,Crumlin,Age 13,Males,Number, 278 
Population,2011,Crumlin,Age 13,Females,Number, 293 
Population,2011,Crumlin,Age 14,Males,Number, 301 
Population,2011,Crumlin,Age 14,Females,Number, 271 
Population,2011,Crumlin,Age 15,Males,Number, 305 
Population,2011,Crumlin,Age 15,Females,Number, 257 
Population,2011,Crumlin,Age 16,Males,Number, 299 
Population,2011,Crumlin,Age 16,Females,Number, 255 
Population,2011,Crumlin,Age 17,Males,Number, 258 
Population,2011,Crumlin,Age 17,Females,Number, 302 
Population,2011,Crumlin,Age 18,Males,Number, 285 
Population,2011,Crumlin,Age 18,Females,Number, 273 
Population,2011,Crumlin,Age 19,Males,Number, 286 
Population,2011,Crumlin,Age 19,Females,Number, 329 
Population,2011,Crumlin,Age 20-24,Males,Number," 1,609 "
Population,2011,Crumlin,Age 20-24,Females,Number," 1,689 "
Population,2011,Crumlin,Age 25-29,Males,Number," 1,947 "
Population,2011,Crumlin,Age 25-29,Females,Number," 1,988 "
Population,2011,Crumlin,Age 30-34,Males,Number," 1,915 "
Population,2011,Crumlin,Age 30-34,Females,Number," 1,948 "
Population,2011,Crumlin,Age 35-39,Males,Number," 1,756 "
Population,2011,Crumlin,Age 35-39,Females,Number," 1,776 "
Population,2011,Crumlin,Age 40-44,Males,Number," 1,626 "
Population,2011,Crumlin,Age 40-44,Females,Number," 1,770 "
Population,2011,Crumlin,Age 45-49,Males,Number," 1,719 "
Population,2011,Crumlin,Age 45-49,Females,Number," 1,825 "
Population,2011,Crumlin,Age 50-54,Males,Number," 1,623 "
Population,2011,Crumlin,Age 50-54,Females,Number," 1,661 "
Population,2011,Crumlin,Age 55-59,Males,Number," 1,252 "
Population,2011,Crumlin,Age 55-59,Females,Number," 1,403 "
Population,2011,Crumlin,Age 60-64,Males,Number," 1,199 "
Population,2011,Crumlin,Age 60-64,Females,Number," 1,327 "
Population,2011,Crumlin,Age 65-69,Males,Number," 1,015 "
Population,2011,Crumlin,Age 65-69,Females,Number," 1,213 "
Population,2011,Crumlin,Age 70-74,Males,Number," 1,023 "
Population,2011,Crumlin,Age 70-74,Females,Number," 1,355 "
Population,2011,Crumlin,Age 75-79,Males,Number, 895 
Population,2011,Crumlin,Age 75-79,Females,Number," 1,277 "
Population,2011,Crumlin,Age 80-84,Males,Number, 530 
Population,2011,Crumlin,Age 80-84,Females,Number, 838 
Population,2011,Crumlin,Age 85 and over,Males,Number, 300 
Population,2011,Crumlin,Age 85 and over,Females,Number, 630 
Population,2011,Tallaght,Age 0,Males,Number," 1,175 "
Population,2011,Tallaght,Age 0,Females,Number," 1,179 "
Population,2011,Tallaght,Age 1,Males,Number," 1,248 "
Population,2011,Tallaght,Age 1,Females,Number," 1,208 "
Population,2011,Tallaght,Age 2,Males,Number," 1,242 "
Population,2011,Tallaght,Age 2,Females,Number," 1,234 "
Population,2011,Tallaght,Age 3,Males,Number," 1,157 "
Population,2011,Tallaght,Age 3,Females,Number," 1,174 "
Population,2011,Tallaght,Age 4,Males,Number," 1,095 "
Population,2011,Tallaght,Age 4,Females,Number," 1,014 "
Population,2011,Tallaght,Age 5,Males,Number," 1,086 "
Population,2011,Tallaght,Age 5,Females,Number, 998 
Population,2011,Tallaght,Age 6,Males,Number," 1,062 "
Population,2011,Tallaght,Age 6,Females,Number, 958 
Population,2011,Tallaght,Age 7,Males,Number," 1,058 "
Population,2011,Tallaght,Age 7,Females,Number," 1,007 "
Population,2011,Tallaght,Age 8,Males,Number," 1,025 "
Population,2011,Tallaght,Age 8,Females,Number, 977 
Population,2011,Tallaght,Age 9,Males,Number," 1,040 "
Population,2011,Tallaght,Age 9,Females,Number," 1,002 "
Population,2011,Tallaght,Age 10,Males,Number," 1,040 "
Population,2011,Tallaght,Age 10,Females,Number, 978 
Population,2011,Tallaght,Age 11,Males,Number," 1,043 "
Population,2011,Tallaght,Age 11,Females,Number, 936 
Population,2011,Tallaght,Age 12,Males,Number," 1,018 "
Population,2011,Tallaght,Age 12,Females,Number, 916 
Population,2011,Tallaght,Age 13,Males,Number, 930 
Population,2011,Tallaght,Age 13,Females,Number, 890 
Population,2011,Tallaght,Age 14,Males,Number, 935 
Population,2011,Tallaght,Age 14,Females,Number, 900 
Population,2011,Tallaght,Age 15,Males,Number, 931 
Population,2011,Tallaght,Age 15,Females,Number, 801 
Population,2011,Tallaght,Age 16,Males,Number, 902 
Population,2011,Tallaght,Age 16,Females,Number, 839 
Population,2011,Tallaght,Age 17,Males,Number, 902 
Population,2011,Tallaght,Age 17,Females,Number, 861 
Population,2011,Tallaght,Age 18,Males,Number, 949 
Population,2011,Tallaght,Age 18,Females,Number, 865 
Population,2011,Tallaght,Age 19,Males,Number, 954 
Population,2011,Tallaght,Age 19,Females,Number, 943 
Population,2011,Tallaght,Age 20-24,Males,Number," 4,821 "
Population,2011,Tallaght,Age 20-24,Females,Number," 4,895 "
Population,2011,Tallaght,Age 25-29,Males,Number," 5,609 "
Population,2011,Tallaght,Age 25-29,Females,Number," 6,204 "
Population,2011,Tallaght,Age 30-34,Males,Number," 6,218 "
Population,2011,Tallaght,Age 30-34,Females,Number," 6,446 "
Population,2011,Tallaght,Age 35-39,Males,Number," 5,102 "
Population,2011,Tallaght,Age 35-39,Females,Number," 5,410 "
Population,2011,Tallaght,Age 40-44,Males,Number," 4,306 "
Population,2011,Tallaght,Age 40-44,Females,Number," 4,604 "
Population,2011,Tallaght,Age 45-49,Males,Number," 3,797 "
Population,2011,Tallaght,Age 45-49,Females,Number," 4,336 "
Population,2011,Tallaght,Age 50-54,Males,Number," 3,786 "
Population,2011,Tallaght,Age 50-54,Females,Number," 4,309 "
Population,2011,Tallaght,Age 55-59,Males,Number," 3,757 "
Population,2011,Tallaght,Age 55-59,Females,Number," 4,377 "
Population,2011,Tallaght,Age 60-64,Males,Number," 3,563 "
Population,2011,Tallaght,Age 60-64,Females,Number," 3,743 "
Population,2011,Tallaght,Age 65-69,Males,Number," 2,398 "
Population,2011,Tallaght,Age 65-69,Females,Number," 2,475 "
Population,2011,Tallaght,Age 70-74,Males,Number," 1,451 "
Population,2011,Tallaght,Age 70-74,Females,Number," 1,585 "
Population,2011,Tallaght,Age 75-79,Males,Number, 919 
Population,2011,Tallaght,Age 75-79,Females,Number," 1,183 "
Population,2011,Tallaght,Age 80-84,Males,Number, 510 
Population,2011,Tallaght,Age 80-84,Females,Number, 848 
Population,2011,Tallaght,Age 85 and over,Males,Number, 271 
Population,2011,Tallaght,Age 85 and over,Females,Number, 748 
Population,2011,Terenure,Age 0,Males,Number, 283 
Population,2011,Terenure,Age 0,Females,Number, 258 
Population,2011,Terenure,Age 1,Males,Number, 274 
Population,2011,Terenure,Age 1,Females,Number, 283 
Population,2011,Terenure,Age 2,Males,Number, 264 
Population,2011,Terenure,Age 2,Females,Number, 249 
Population,2011,Terenure,Age 3,Males,Number, 263 
Population,2011,Terenure,Age 3,Females,Number, 251 
Population,2011,Terenure,Age 4,Males,Number, 236 
Population,2011,Terenure,Age 4,Females,Number, 224 
Population,2011,Terenure,Age 5,Males,Number, 202 
Population,2011,Terenure,Age 5,Females,Number, 242 
Population,2011,Terenure,Age 6,Males,Number, 246 
Population,2011,Terenure,Age 6,Females,Number, 222 
Population,2011,Terenure,Age 7,Males,Number, 235 
Population,2011,Terenure,Age 7,Females,Number, 212 
Population,2011,Terenure,Age 8,Males,Number, 260 
Population,2011,Terenure,Age 8,Females,Number, 215 
Population,2011,Terenure,Age 9,Males,Number, 185 
Population,2011,Terenure,Age 9,Females,Number, 251 
Population,2011,Terenure,Age 10,Males,Number, 218 
Population,2011,Terenure,Age 10,Females,Number, 193 
Population,2011,Terenure,Age 11,Males,Number, 229 
Population,2011,Terenure,Age 11,Females,Number, 197 
Population,2011,Terenure,Age 12,Males,Number, 225 
Population,2011,Terenure,Age 12,Females,Number, 209 
Population,2011,Terenure,Age 13,Males,Number, 225 
Population,2011,Terenure,Age 13,Females,Number, 219 
Population,2011,Terenure,Age 14,Males,Number, 229 
Population,2011,Terenure,Age 14,Females,Number, 204 
Population,2011,Terenure,Age 15,Males,Number, 214 
Population,2011,Terenure,Age 15,Females,Number, 208 
Population,2011,Terenure,Age 16,Males,Number, 198 
Population,2011,Terenure,Age 16,Females,Number, 204 
Population,2011,Terenure,Age 17,Males,Number, 244 
Population,2011,Terenure,Age 17,Females,Number, 218 
Population,2011,Terenure,Age 18,Males,Number, 283 
Population,2011,Terenure,Age 18,Females,Number, 322 
Population,2011,Terenure,Age 19,Males,Number, 424 
Population,2011,Terenure,Age 19,Females,Number, 467 
Population,2011,Terenure,Age 20-24,Males,Number," 2,169 "
Population,2011,Terenure,Age 20-24,Females,Number," 2,517 "
Population,2011,Terenure,Age 25-29,Males,Number," 3,113 "
Population,2011,Terenure,Age 25-29,Females,Number," 3,376 "
Population,2011,Terenure,Age 30-34,Males,Number," 2,799 "
Population,2011,Terenure,Age 30-34,Females,Number," 2,719 "
Population,2011,Terenure,Age 35-39,Males,Number," 1,891 "
Population,2011,Terenure,Age 35-39,Females,Number," 1,785 "
Population,2011,Terenure,Age 40-44,Males,Number," 1,691 "
Population,2011,Terenure,Age 40-44,Females,Number," 1,624 "
Population,2011,Terenure,Age 45-49,Males,Number," 1,533 "
Population,2011,Terenure,Age 45-49,Females,Number," 1,566 "
Population,2011,Terenure,Age 50-54,Males,Number," 1,524 "
Population,2011,Terenure,Age 50-54,Females,Number," 1,666 "
Population,2011,Terenure,Age 55-59,Males,Number," 1,429 "
Population,2011,Terenure,Age 55-59,Females,Number," 1,603 "
Population,2011,Terenure,Age 60-64,Males,Number," 1,262 "
Population,2011,Terenure,Age 60-64,Females,Number," 1,382 "
Population,2011,Terenure,Age 65-69,Males,Number, 887 
Population,2011,Terenure,Age 65-69,Females,Number, 961 
Population,2011,Terenure,Age 70-74,Males,Number, 607 
Population,2011,Terenure,Age 70-74,Females,Number, 768 
Population,2011,Terenure,Age 75-79,Males,Number, 539 
Population,2011,Terenure,Age 75-79,Females,Number, 725 
Population,2011,Terenure,Age 80-84,Males,Number, 363 
Population,2011,Terenure,Age 80-84,Females,Number, 647 
Population,2011,Terenure,Age 85 and over,Males,Number, 268 
Population,2011,Terenure,Age 85 and over,Females,Number, 561 
Population,2011,Santry,Age 0,Males,Number, 362 
Population,2011,Santry,Age 0,Females,Number, 362 
Population,2011,Santry,Age 1,Males,Number, 363 
Population,2011,Santry,Age 1,Females,Number, 340 
Population,2011,Santry,Age 2,Males,Number, 405 
Population,2011,Santry,Age 2,Females,Number, 341 
Population,2011,Santry,Age 3,Males,Number, 333 
Population,2011,Santry,Age 3,Females,Number, 324 
Population,2011,Santry,Age 4,Males,Number, 306 
Population,2011,Santry,Age 4,Females,Number, 296 
Population,2011,Santry,Age 5,Males,Number, 333 
Population,2011,Santry,Age 5,Females,Number, 285 
Population,2011,Santry,Age 6,Males,Number, 308 
Population,2011,Santry,Age 6,Females,Number, 296 
Population,2011,Santry,Age 7,Males,Number, 323 
Population,2011,Santry,Age 7,Females,Number, 312 
Population,2011,Santry,Age 8,Males,Number, 316 
Population,2011,Santry,Age 8,Females,Number, 293 
Population,2011,Santry,Age 9,Males,Number, 336 
Population,2011,Santry,Age 9,Females,Number, 317 
Population,2011,Santry,Age 10,Males,Number, 326 
Population,2011,Santry,Age 10,Females,Number, 309 
Population,2011,Santry,Age 11,Males,Number, 319 
Population,2011,Santry,Age 11,Females,Number, 337 
Population,2011,Santry,Age 12,Males,Number, 348 
Population,2011,Santry,Age 12,Females,Number, 343 
Population,2011,Santry,Age 13,Males,Number, 341 
Population,2011,Santry,Age 13,Females,Number, 354 
Population,2011,Santry,Age 14,Males,Number, 347 
Population,2011,Santry,Age 14,Females,Number, 337 
Population,2011,Santry,Age 15,Males,Number, 349 
Population,2011,Santry,Age 15,Females,Number, 343 
Population,2011,Santry,Age 16,Males,Number, 344 
Population,2011,Santry,Age 16,Females,Number, 326 
Population,2011,Santry,Age 17,Males,Number, 362 
Population,2011,Santry,Age 17,Females,Number, 336 
Population,2011,Santry,Age 18,Males,Number, 449 
Population,2011,Santry,Age 18,Females,Number, 484 
Population,2011,Santry,Age 19,Males,Number, 550 
Population,2011,Santry,Age 19,Females,Number, 636 
Population,2011,Santry,Age 20-24,Males,Number," 2,382 "
Population,2011,Santry,Age 20-24,Females,Number," 2,750 "
Population,2011,Santry,Age 25-29,Males,Number," 2,452 "
Population,2011,Santry,Age 25-29,Females,Number," 2,584 "
Population,2011,Santry,Age 30-34,Males,Number," 2,362 "
Population,2011,Santry,Age 30-34,Females,Number," 2,440 "
Population,2011,Santry,Age 35-39,Males,Number," 2,008 "
Population,2011,Santry,Age 35-39,Females,Number," 2,068 "
Population,2011,Santry,Age 40-44,Males,Number," 1,844 "
Population,2011,Santry,Age 40-44,Females,Number," 2,048 "
Population,2011,Santry,Age 45-49,Males,Number," 1,691 "
Population,2011,Santry,Age 45-49,Females,Number," 1,938 "
Population,2011,Santry,Age 50-54,Males,Number," 1,323 "
Population,2011,Santry,Age 50-54,Females,Number," 1,526 "
Population,2011,Santry,Age 55-59,Males,Number," 1,116 "
Population,2011,Santry,Age 55-59,Females,Number," 1,260 "
Population,2011,Santry,Age 60-64,Males,Number," 1,179 "
Population,2011,Santry,Age 60-64,Females,Number," 1,411 "
Population,2011,Santry,Age 65-69,Males,Number," 1,199 "
Population,2011,Santry,Age 65-69,Females,Number," 1,431 "
Population,2011,Santry,Age 70-74,Males,Number," 1,100 "
Population,2011,Santry,Age 70-74,Females,Number," 1,367 "
Population,2011,Santry,Age 75-79,Males,Number, 830 
Population,2011,Santry,Age 75-79,Females,Number," 1,142 "
Population,2011,Santry,Age 80-84,Males,Number, 498 
Population,2011,Santry,Age 80-84,Females,Number, 819 
Population,2011,Santry,Age 85 and over,Males,Number, 277 
Population,2011,Santry,Age 85 and over,Females,Number, 632 
Population,2011,Coolock,Age 0,Males,Number," 1,163 "
Population,2011,Coolock,Age 0,Females,Number," 1,086 "
Population,2011,Coolock,Age 1,Males,Number," 1,237 "
Population,2011,Coolock,Age 1,Females,Number," 1,136 "
Population,2011,Coolock,Age 2,Males,Number," 1,154 "
Population,2011,Coolock,Age 2,Females,Number," 1,100 "
Population,2011,Coolock,Age 3,Males,Number," 1,110 "
Population,2011,Coolock,Age 3,Females,Number," 1,073 "
