STATISTIC,Statistic Label,TLIST(A1),Census Year,C04167V04938,Electoral Divisions,UNIT, VALUE 
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d70-13a3-e055-000000000001,"Finglas South D, Dublin City",Number," 2,543.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d71-13a3-e055-000000000001,"Grace Park, Dublin City",Number," 6,272.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d7f-13a3-e055-000000000001,"Grange A, Dublin City",Number," 12,598.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d80-13a3-e055-000000000001,"Grange B, Dublin City",Number," 7,438.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d81-13a3-e055-000000000001,"Grange C, Dublin City",Number," 3,086.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d82-13a3-e055-000000000001,"Grange D, Dublin City",Number," 3,952.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d83-13a3-e055-000000000001,"Grange E, Dublin City",Number," 2,578.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d84-13a3-e055-000000000001,"Harmonstown A, Dublin City",Number," 2,848.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d85-13a3-e055-000000000001,"Harmonstown B, Dublin City",Number," 2,921.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d86-13a3-e055-000000000001,"Inchicore A, Dublin City",Number," 2,557.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d87-13a3-e055-000000000001,"Inchicore B, Dublin City",Number," 2,728.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d88-13a3-e055-000000000001,"Inns Quay A, Dublin City",Number," 4,033.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d89-13a3-e055-000000000001,"Inns Quay B, Dublin City",Number," 4,537.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d8a-13a3-e055-000000000001,"Inns Quay C, Dublin City",Number," 3,087.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d8b-13a3-e055-000000000001,"Kilmainham A, Dublin City",Number," 2,646.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d8c-13a3-e055-000000000001,"Kilmainham B, Dublin City",Number," 2,638.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d8d-13a3-e055-000000000001,"Kilmainham C, Dublin City",Number," 4,956.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d97-13a3-e055-000000000001,"Kilmore A, Dublin City",Number," 3,678.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d98-13a3-e055-000000000001,"Kilmore B, Dublin City",Number," 2,546.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d8e-13a3-e055-000000000001,"Kilmore C, Dublin City",Number," 1,413.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d96-13a3-e055-000000000001,"Kilmore D, Dublin City",Number," 2,149.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d99-13a3-e055-000000000001,"Kimmage A, Dublin City",Number," 1,903.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9a-13a3-e055-000000000001,"Kimmage B, Dublin City",Number," 3,533.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9b-13a3-e055-000000000001,"Kimmage C, Dublin City",Number," 3,738.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9c-13a3-e055-000000000001,"Kimmage D, Dublin City",Number," 2,533.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9d-13a3-e055-000000000001,"Kimmage E, Dublin City",Number," 3,500.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9e-13a3-e055-000000000001,"Kylemore, Dublin City",Number," 2,557.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d9f-13a3-e055-000000000001,"Mansion House A, Dublin City",Number," 4,298.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da0-13a3-e055-000000000001,"Mansion House B, Dublin City",Number," 1,021.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da1-13a3-e055-000000000001,"Merchants Quay A, Dublin City",Number," 2,749.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da2-13a3-e055-000000000001,"Merchants Quay B, Dublin City",Number," 4,343.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da3-13a3-e055-000000000001,"Merchants Quay C, Dublin City",Number," 3,814.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da4-13a3-e055-000000000001,"Merchants Quay D, Dublin City",Number," 2,575.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da5-13a3-e055-000000000001,"Merchants Quay E, Dublin City",Number," 2,651.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da6-13a3-e055-000000000001,"Merchants Quay F, Dublin City",Number," 2,328.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da7-13a3-e055-000000000001,"Mountjoy A, Dublin City",Number," 7,374.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1da8-13a3-e055-000000000001,"Mountjoy B, Dublin City",Number," 4,537.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db2-13a3-e055-000000000001,"North City, Dublin City",Number," 6,749.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db3-13a3-e055-000000000001,"North Dock A, Dublin City",Number," 1,406.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db4-13a3-e055-000000000001,"North Dock B, Dublin City",Number," 10,173.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db5-13a3-e055-000000000001,"North Dock C, Dublin City",Number," 4,328.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db6-13a3-e055-000000000001,"Pembroke East A, Dublin City",Number," 5,017.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db7-13a3-e055-000000000001,"Pembroke East B, Dublin City",Number," 3,852.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db8-13a3-e055-000000000001,"Pembroke East C, Dublin City",Number," 4,179.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1db9-13a3-e055-000000000001,"Pembroke East D, Dublin City",Number," 5,368.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dba-13a3-e055-000000000001,"Pembroke East E, Dublin City",Number," 3,924.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dbb-13a3-e055-000000000001,"Pembroke West A, Dublin City",Number," 5,144.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dbc-13a3-e055-000000000001,"Pembroke West B, Dublin City",Number," 3,214.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dbd-13a3-e055-000000000001,"Pembroke West C, Dublin City",Number," 4,385.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dbe-13a3-e055-000000000001,"Phoenix Park, Dublin City",Number," 1,465.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dcc-13a3-e055-000000000001,"Priorswood A, Dublin City",Number," 1,574.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dcd-13a3-e055-000000000001,"Priorswood B, Dublin City",Number," 2,794.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dca-13a3-e055-000000000001,"Priorswood C, Dublin City",Number," 4,883.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dcb-13a3-e055-000000000001,"Priorswood D, Dublin City",Number," 2,653.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dce-13a3-e055-000000000001,"Priorswood E, Dublin City",Number," 2,771.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dcf-13a3-e055-000000000001,"Raheny-Foxfield, Dublin City",Number," 2,553.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd0-13a3-e055-000000000001,"Raheny-Greendale, Dublin City",Number," 2,262.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd1-13a3-e055-000000000001,"Raheny-St. Assam, Dublin City",Number," 3,919.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd2-13a3-e055-000000000001,"Rathfarnham, Dublin City",Number," 5,768.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd3-13a3-e055-000000000001,"Rathmines East A, Dublin City",Number," 4,979.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd4-13a3-e055-000000000001,"Rathmines East B, Dublin City",Number," 5,705.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd5-13a3-e055-000000000001,"Rathmines East C, Dublin City",Number," 3,484.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd6-13a3-e055-000000000001,"Rathmines East D, Dublin City",Number," 2,755.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd7-13a3-e055-000000000001,"Rathmines West A, Dublin City",Number," 6,115.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dd8-13a3-e055-000000000001,"Rathmines West B, Dublin City",Number," 3,818.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de6-13a3-e055-000000000001,"Rathmines West C, Dublin City",Number," 2,857.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de7-13a3-e055-000000000001,"Rathmines West D, Dublin City",Number," 3,222.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de8-13a3-e055-000000000001,"Rathmines West E, Dublin City",Number," 3,712.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de9-13a3-e055-000000000001,"Rathmines West F, Dublin City",Number," 2,943.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dea-13a3-e055-000000000001,"Rotunda A, Dublin City",Number," 6,528.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1deb-13a3-e055-000000000001,"Rotunda B, Dublin City",Number," 3,589.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dec-13a3-e055-000000000001,"Royal Exchange A, Dublin City",Number," 5,063.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1ded-13a3-e055-000000000001,"Royal Exchange B, Dublin City",Number," 2,213.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dee-13a3-e055-000000000001,"Saint Kevin's, Dublin City",Number," 5,732.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1def-13a3-e055-000000000001,"South Dock, Dublin City",Number," 8,320.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df0-13a3-e055-000000000001,"Terenure A, Dublin City",Number," 3,982.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df1-13a3-e055-000000000001,"Terenure B, Dublin City",Number," 3,746.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df2-13a3-e055-000000000001,"Terenure C, Dublin City",Number," 1,881.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df3-13a3-e055-000000000001,"Terenure D, Dublin City",Number, 782.00 
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df4-13a3-e055-000000000001,"Ushers A, Dublin City",Number," 5,117.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df5-13a3-e055-000000000001,"Ushers B, Dublin City",Number," 1,903.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df6-13a3-e055-000000000001,"Ushers C, Dublin City",Number," 4,069.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df7-13a3-e055-000000000001,"Ushers D, Dublin City",Number," 2,390.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1df8-13a3-e055-000000000001,"Ushers E, Dublin City",Number," 1,859.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e05-13a3-e055-000000000001,"Ushers F, Dublin City",Number," 3,461.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e06-13a3-e055-000000000001,"Walkinstown A, Dublin City",Number," 2,947.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e07-13a3-e055-000000000001,"Walkinstown B, Dublin City",Number," 2,014.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e08-13a3-e055-000000000001,"Walkinstown C, Dublin City",Number," 2,481.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e09-13a3-e055-000000000001,"Whitehall A, Dublin City",Number," 3,117.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e0a-13a3-e055-000000000001,"Whitehall B, Dublin City",Number," 4,371.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e0b-13a3-e055-000000000001,"Whitehall C, Dublin City",Number," 2,908.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e0c-13a3-e055-000000000001,"Whitehall D, Dublin City",Number," 3,279.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e0d-13a3-e055-000000000001,"Wood Quay A, Dublin City",Number," 2,871.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e0e-13a3-e055-000000000001,"Wood Quay B, Dublin City",Number," 3,907.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e23-13a3-e055-000000000001,"Ballinascorney, South Dublin",Number, 874.00 
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e2a-13a3-e055-000000000001,"Ballyboden, South Dublin",Number," 5,246.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1ce0-13a3-e055-000000000001,"Bohernabreena, South Dublin",Number," 5,672.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d02-13a3-e055-000000000001,"Clondalkin Village, South Dublin",Number," 9,388.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cfc-13a3-e055-000000000001,"Clondalkin-Ballymount, South Dublin",Number," 2,320.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cfd-13a3-e055-000000000001,"Clondalkin-Cappaghmore, South Dublin",Number," 2,445.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cfe-13a3-e055-000000000001,"Clondalkin-Dunawley, South Dublin",Number," 11,298.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cff-13a3-e055-000000000001,"Clondalkin-Monastery, South Dublin",Number," 11,357.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d00-13a3-e055-000000000001,"Clondalkin-Moorfield, South Dublin",Number," 7,024.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d01-13a3-e055-000000000001,"Clondalkin-Rowlagh, South Dublin",Number," 4,106.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d5f-13a3-e055-000000000001,"Edmondstown, South Dublin",Number," 5,685.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d60-13a3-e055-000000000001,"Firhouse Village, South Dublin",Number," 12,254.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d61-13a3-e055-000000000001,"Firhouse-Ballycullen, South Dublin",Number," 10,522.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d78-13a3-e055-000000000001,"Firhouse-Knocklyon, South Dublin",Number," 3,510.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dc8-13a3-e055-000000000001,"Lucan Heights, South Dublin",Number," 5,131.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dc7-13a3-e055-000000000001,"Lucan-Esker, South Dublin",Number," 33,849.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dde-13a3-e055-000000000001,"Lucan-St. Helens, South Dublin",Number," 16,805.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de2-13a3-e055-000000000001,"Newcastle, South Dublin",Number," 5,552.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de3-13a3-e055-000000000001,"Palmerston Village, South Dublin",Number," 3,689.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1de4-13a3-e055-000000000001,"Palmerston West, South Dublin",Number," 7,323.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1dff-13a3-e055-000000000001,"Rathcoole, South Dublin",Number," 6,590.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e04-13a3-e055-000000000001,"Rathfarnham Village, South Dublin",Number," 3,145.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e00-13a3-e055-000000000001,"Rathfarnham-Ballyroan, South Dublin",Number," 2,743.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e01-13a3-e055-000000000001,"Rathfarnham-Butterfield, South Dublin",Number," 3,290.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e02-13a3-e055-000000000001,"Rathfarnham-Hermitage, South Dublin",Number," 4,378.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e03-13a3-e055-000000000001,"Rathfarnham-St. Enda's, South Dublin",Number," 3,952.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1e16-13a3-e055-000000000001,"Saggart, South Dublin",Number," 6,248.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cb3-13a3-e055-000000000001,"Tallaght-Avonbeg, South Dublin",Number," 1,543.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cb4-13a3-e055-000000000001,"Tallaght-Belgard, South Dublin",Number," 1,635.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cb5-13a3-e055-000000000001,"Tallaght-Fettercairn, South Dublin",Number," 11,335.00 "
