Statistic Label,Electoral Division,Year,UNIT, VALUE ,Electoral Division Name,,,
Household median gross income,"012 Ballygall B, Dublin City",2016,Euro,"38,455.00",BALLYGALL B,1,DUBLIN CITY,DUBLIN
Household median gross income,"013 Ballygall C, Dublin City",2016,Euro,"50,531.00",BALLYGALL C,1,DUBLIN CITY,DUBLIN
Household median gross income,"014 Ballygall D, Dublin City",2016,Euro,"48,264.00",BALLYGALL D,1,DUBLIN CITY,DUBLIN
Household median gross income,"015 Ballymun A, Dublin City",2016,Euro,"43,696.00",BALLYMUN A,1,DUBLIN CITY,DUBLIN
Household median gross income,"016 Ballymun B, Dublin City",2016,Euro,"32,891.00",BALLYMUN B,1,DUBLIN CITY,DUBLIN
Household median gross income,"017 Ballymun C, Dublin City",2016,Euro,"35,408.00",BALLYMUN C,1,DUBLIN CITY,DUBLIN
Household median gross income,"018 Ballymun D, Dublin City",2016,Euro,"29,001.00",BALLYMUN D,1,DUBLIN CITY,DUBLIN
Household median gross income,"019 Ballymun E, Dublin City",2016,Euro,"56,725.00",BALLYMUN E,1,DUBLIN CITY,DUBLIN
Household median gross income,"020 Ballymun F, Dublin City",2016,Euro,"51,818.00",BALLYMUN F,1,DUBLIN CITY,DUBLIN
Household median gross income,"021 Beaumont A, Dublin City",2016,Euro,"46,176.00",BEAUMONT A,1,DUBLIN CITY,DUBLIN
Household median gross income,"022 Beaumont B, Dublin City",2016,Euro,"55,941.00",BEAUMONT B,1,DUBLIN CITY,DUBLIN
Household median gross income,"023 Beaumont C, Dublin City",2016,Euro,"47,292.00",BEAUMONT C,1,DUBLIN CITY,DUBLIN
Household median gross income,"024 Beaumont D, Dublin City",2016,Euro,"65,982.00",BEAUMONT D,1,DUBLIN CITY,DUBLIN
Household median gross income,"025 Beaumont E, Dublin City",2016,Euro,"49,943.00",BEAUMONT E,1,DUBLIN CITY,DUBLIN
Household median gross income,"026 Beaumont F, Dublin City",2016,Euro,"59,198.00",BEAUMONT F,1,DUBLIN CITY,DUBLIN
Household median gross income,"027 Botanic A, Dublin City",2016,Euro,"54,579.00",BOTANIC A,1,DUBLIN CITY,DUBLIN
Household median gross income,"028 Botanic B, Dublin City",2016,Euro,"62,621.00",BOTANIC B,1,DUBLIN CITY,DUBLIN
Household median gross income,"029 Botanic C, Dublin City",2016,Euro,"56,164.00",BOTANIC C,1,DUBLIN CITY,DUBLIN
Household median gross income,"030 Cabra East A, Dublin City",2016,Euro,"48,238.00",CABRA EAST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"031 Cabra East B, Dublin City",2016,Euro,"37,486.00",CABRA EAST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"032 Cabra East C, Dublin City",2016,Euro,"37,516.00",CABRA EAST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"033 Cabra West A, Dublin City",2016,Euro,"40,853.00",CABRA WEST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"034 Cabra West B, Dublin City",2016,Euro,"34,222.00",CABRA WEST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"035 Cabra West C, Dublin City",2016,Euro,"41,250.00",CABRA WEST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"036 Cabra West D, Dublin City",2016,Euro,"52,257.00",CABRA WEST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"037 Clontarf East A, Dublin City",2016,Euro,"56,483.00",CLONTARF EAST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"038 Clontarf East B, Dublin City",2016,Euro,"68,864.00",CLONTARF EAST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"039 Clontarf East C, Dublin City",2016,Euro,"70,556.00",CLONTARF EAST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"040 Clontarf East D, Dublin City",2016,Euro,"69,150.00",CLONTARF EAST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"041 Clontarf East E, Dublin City",2016,Euro,"74,484.00",CLONTARF EAST E,1,DUBLIN CITY,DUBLIN
Household median gross income,"042 Clontarf West A, Dublin City",2016,Euro,"58,613.00",CLONTARF WEST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"043 Clontarf West B, Dublin City",2016,Euro,"42,873.00",CLONTARF WEST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"044 Clontarf West C, Dublin City",2016,Euro,"66,068.00",CLONTARF WEST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"045 Clontarf West D, Dublin City",2016,Euro,"48,075.00",CLONTARF WEST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"046 Clontarf West E, Dublin City",2016,Euro,"62,601.00",CLONTARF WEST E,1,DUBLIN CITY,DUBLIN
Household median gross income,"047 Drumcondra South A, Dublin City",2016,Euro,"63,028.00",DRUMCONDRA SOUTH A,1,DUBLIN CITY,DUBLIN
Household median gross income,"048 Drumcondra South B, Dublin City",2016,Euro,"48,970.00",DRUMCONDRA SOUTH B,1,DUBLIN CITY,DUBLIN
Household median gross income,"049 Drumcondra South C, Dublin City",2016,Euro,"55,909.00",DRUMCONDRA SOUTH C,1,DUBLIN CITY,DUBLIN
Household median gross income,"050 Edenmore, Dublin City",2016,Euro,"37,756.00",EDENMORE,1,DUBLIN CITY,DUBLIN
Household median gross income,"051 Finglas North A, Dublin City",2016,Euro,"37,594.00",FINGLAS NORTH A,1,DUBLIN CITY,DUBLIN
Household median gross income,"052 Finglas North B, Dublin City",2016,Euro,"35,123.00",FINGLAS NORTH B,1,DUBLIN CITY,DUBLIN
Household median gross income,"053 Finglas North C, Dublin City",2016,Euro,"45,740.00",FINGLAS NORTH C,1,DUBLIN CITY,DUBLIN
Household median gross income,"054 Finglas South A, Dublin City",2016,Euro,"35,349.00",FINGLAS SOUTH A,1,DUBLIN CITY,DUBLIN
Household median gross income,"055 Finglas South B, Dublin City",2016,Euro,"37,717.00",FINGLAS SOUTH B,1,DUBLIN CITY,DUBLIN
Household median gross income,"056 Finglas South C, Dublin City",2016,Euro,"35,801.00",FINGLAS SOUTH C,1,DUBLIN CITY,DUBLIN
Household median gross income,"057 Finglas South D, Dublin City",2016,Euro,"38,353.00",FINGLAS SOUTH D,1,DUBLIN CITY,DUBLIN
Household median gross income,"058 Grace Park, Dublin City",2016,Euro,"62,220.00",GRACE PARK,1,DUBLIN CITY,DUBLIN
Household median gross income,"059 Grange A, Dublin City",2016,Euro,"56,740.00",GRANGE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"060 Grange B, Dublin City",2016,Euro,"52,073.00",GRANGE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"061 Grange C, Dublin City",2016,Euro,"42,326.00",GRANGE C,1,DUBLIN CITY,DUBLIN
Household median gross income,"062 Grange D, Dublin City",2016,Euro,"49,145.00",GRANGE D,1,DUBLIN CITY,DUBLIN
Household median gross income,"063 Grange E, Dublin City",2016,Euro,"42,679.00",GRANGE E,1,DUBLIN CITY,DUBLIN
Household median gross income,"064 Harmonstown A, Dublin City",2016,Euro,"45,732.00",HARMONSTOWN A,1,DUBLIN CITY,DUBLIN
Household median gross income,"065 Harmonstown B, Dublin City",2016,Euro,"50,960.00",HARMONSTOWN B,1,DUBLIN CITY,DUBLIN
Household median gross income,"066 Inns Quay A, Dublin City",2016,Euro,"41,620.00",INNS QUAY A,1,DUBLIN CITY,DUBLIN
Household median gross income,"067 Inns Quay B, Dublin City",2016,Euro,"33,680.00",INNS QUAY B,1,DUBLIN CITY,DUBLIN
Household median gross income,"068 Inns Quay C, Dublin City",2016,Euro,"32,561.00",INNS QUAY C,1,DUBLIN CITY,DUBLIN
Household median gross income,"069 Kilmore A, Dublin City",2016,Euro,"53,567.00",KILMORE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"070 Kilmore B, Dublin City",2016,Euro,"35,158.00",KILMORE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"071 Kilmore C, Dublin City",2016,Euro,"34,210.00",KILMORE C,1,DUBLIN CITY,DUBLIN
Household median gross income,"072 Kilmore D, Dublin City",2016,Euro,"43,228.00",KILMORE D,1,DUBLIN CITY,DUBLIN
Household median gross income,"073 Mountjoy A, Dublin City",2016,Euro,"31,890.00",MOUNTJOY A,1,DUBLIN CITY,DUBLIN
Household median gross income,"074 Mountjoy B, Dublin City",2016,Euro,"29,090.00",MOUNTJOY B,1,DUBLIN CITY,DUBLIN
Household median gross income,"075 North City, Dublin City",2016,Euro,"44,053.00",NORTH CITY,1,DUBLIN CITY,DUBLIN
Household median gross income,"076 North Dock A, Dublin City",2016,Euro,"44,197.00",NORTH DOCK A,1,DUBLIN CITY,DUBLIN
Household median gross income,"077 North Dock B, Dublin City",2016,Euro,"56,062.00",NORTH DOCK B,1,DUBLIN CITY,DUBLIN
Household median gross income,"078 North Dock C, Dublin City",2016,Euro,"48,549.00",NORTH DOCK C,1,DUBLIN CITY,DUBLIN
Household median gross income,"079 Phoenix Park, Dublin City",2016,Euro,"60,561.00",PHOENIX PARK,1,DUBLIN CITY,DUBLIN
Household median gross income,"080 Priorswood A, Dublin City",2016,Euro,"48,724.00",PRIORSWOOD A,1,DUBLIN CITY,DUBLIN
Household median gross income,"081 Priorswood B, Dublin City",2016,Euro,"38,195.00",PRIORSWOOD B,1,DUBLIN CITY,DUBLIN
Household median gross income,"082 Priorswood C, Dublin City",2016,Euro,"37,776.00",PRIORSWOOD C,1,DUBLIN CITY,DUBLIN
Household median gross income,"083 Priorswood D, Dublin City",2016,Euro,"38,127.00",PRIORSWOOD D,1,DUBLIN CITY,DUBLIN
Household median gross income,"084 Priorswood E, Dublin City",2016,Euro,"47,092.00",PRIORSWOOD E,1,DUBLIN CITY,DUBLIN
Household median gross income,"085 Raheny-Foxfield, Dublin City",2016,Euro,"56,204.00",RAHENY-FOXFIELD,1,DUBLIN CITY,DUBLIN
Household median gross income,"086 Raheny-Greendale, Dublin City",2016,Euro,"43,275.00",RAHENY-GREENDALE,1,DUBLIN CITY,DUBLIN
Household median gross income,"087 Raheny-St. Assam, Dublin City",2016,Euro,"58,684.00",RAHENY-ST. ASSAM,1,DUBLIN CITY,DUBLIN
Household median gross income,"088 Rotunda A, Dublin City",2016,Euro,"30,822.00",ROTUNDA A,1,DUBLIN CITY,DUBLIN
Household median gross income,"089 Rotunda B, Dublin City",2016,Euro,"33,021.00",ROTUNDA B,1,DUBLIN CITY,DUBLIN
Household median gross income,"090 Whitehall A, Dublin City",2016,Euro,"53,018.00",WHITEHALL A,1,DUBLIN CITY,DUBLIN
Household median gross income,"091 Whitehall B, Dublin City",2016,Euro,"45,957.00",WHITEHALL B,1,DUBLIN CITY,DUBLIN
Household median gross income,"092 Whitehall C, Dublin City",2016,Euro,"48,169.00",WHITEHALL C,1,DUBLIN CITY,DUBLIN
Household median gross income,"093 Whitehall D, Dublin City",2016,Euro,"50,770.00",WHITEHALL D,1,DUBLIN CITY,DUBLIN
Household median gross income,"094 Chapelizod, Dublin City",2016,Euro,"57,021.00",CHAPELIZOD,1,DUBLIN CITY,DUBLIN
Household median gross income,"095 Cherry Orchard A, Dublin City",2016,Euro,"38,117.00",CHERRY ORCHARD A,1,DUBLIN CITY,DUBLIN
Household median gross income,"096 Carna, Dublin City",2016,Euro,"35,044.00",CARNA,1,DUBLIN CITY,DUBLIN
Household median gross income,"097 Cherry Orchard C, Dublin City",2016,Euro,"41,881.00",CHERRY ORCHARD C,1,DUBLIN CITY,DUBLIN
Household median gross income,"098 Crumlin A, Dublin City",2016,Euro,"41,041.00",CRUMLIN A,1,DUBLIN CITY,DUBLIN
Household median gross income,"099 Crumlin B, Dublin City",2016,Euro,"38,444.00",CRUMLIN B,1,DUBLIN CITY,DUBLIN
Household median gross income,"100 Crumlin C, Dublin City",2016,Euro,"42,066.00",CRUMLIN C,1,DUBLIN CITY,DUBLIN
Household median gross income,"101 Crumlin D, Dublin City",2016,Euro,"40,746.00",CRUMLIN D,1,DUBLIN CITY,DUBLIN
Household median gross income,"102 Crumlin E, Dublin City",2016,Euro,"38,083.00",CRUMLIN E,1,DUBLIN CITY,DUBLIN
Household median gross income,"103 Crumlin F, Dublin City",2016,Euro,"45,259.00",CRUMLIN F,1,DUBLIN CITY,DUBLIN
Household median gross income,"104 Decies, Dublin City",2016,Euro,"34,826.00",DECIES,1,DUBLIN CITY,DUBLIN
Household median gross income,"105 Drumfinn, Dublin City",2016,Euro,"36,250.00",DRUMFINN,1,DUBLIN CITY,DUBLIN
Household median gross income,"106 Inchicore A, Dublin City",2016,Euro,"41,553.00",INCHICORE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"107 Inchicore B, Dublin City",2016,Euro,"30,084.00",INCHICORE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"108 Kilmainham A, Dublin City",2016,Euro,"35,193.00",KILMAINHAM A,1,DUBLIN CITY,DUBLIN
Household median gross income,"109 Kilmainham B, Dublin City",2016,Euro,"56,245.00",KILMAINHAM B,1,DUBLIN CITY,DUBLIN
Household median gross income,"110 Kilmainham C, Dublin City",2016,Euro,"42,591.00",KILMAINHAM C,1,DUBLIN CITY,DUBLIN
Household median gross income,"111 Kimmage A, Dublin City",2016,Euro,"39,108.00",KIMMAGE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"112 Kimmage B, Dublin City",2016,Euro,"39,006.00",KIMMAGE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"113 Kimmage C, Dublin City",2016,Euro,"56,043.00",KIMMAGE C,1,DUBLIN CITY,DUBLIN
Household median gross income,"114 Kimmage D, Dublin City",2016,Euro,"44,424.00",KIMMAGE D,1,DUBLIN CITY,DUBLIN
Household median gross income,"115 Kimmage E, Dublin City",2016,Euro,"45,051.00",KIMMAGE E,1,DUBLIN CITY,DUBLIN
Household median gross income,"116 Kylemore, Dublin City",2016,Euro,"35,168.00",KYLEMORE,1,DUBLIN CITY,DUBLIN
Household median gross income,"117 Mansion House A, Dublin City",2016,Euro,"35,885.00",MANSION HOUSE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"118 Mansion House B, Dublin City",2016,Euro,"57,247.00",MANSION HOUSE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"119 Merchants Quay A, Dublin City",2016,Euro,"32,881.00",MERCHANTS QUAY A,1,DUBLIN CITY,DUBLIN
Household median gross income,"120 Merchants Quay B, Dublin City",2016,Euro,"42,329.00",MERCHANTS QUAY B,1,DUBLIN CITY,DUBLIN
Household median gross income,"121 Merchants Quay C, Dublin City",2016,Euro,"37,692.00",MERCHANTS QUAY C,1,DUBLIN CITY,DUBLIN
Household median gross income,"122 Merchants Quay D, Dublin City",2016,Euro,"52,524.00",MERCHANTS QUAY D,1,DUBLIN CITY,DUBLIN
Household median gross income,"123 Merchants Quay E, Dublin City",2016,Euro,"47,353.00",MERCHANTS QUAY E,1,DUBLIN CITY,DUBLIN
Household median gross income,"124 Merchants Quay F, Dublin City",2016,Euro,"36,526.00",MERCHANTS QUAY F,1,DUBLIN CITY,DUBLIN
Household median gross income,"125 Pembroke East A, Dublin City",2016,Euro,"52,841.00",PEMBROKE EAST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"126 Pembroke East B, Dublin City",2016,Euro,"76,865.00",PEMBROKE EAST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"127 Pembroke East C, Dublin City",2016,Euro,"80,154.00",PEMBROKE EAST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"128 Pembroke East D, Dublin City",2016,Euro,"69,820.00",PEMBROKE EAST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"129 Pembroke East E, Dublin City",2016,Euro,"89,620.00",PEMBROKE EAST E,1,DUBLIN CITY,DUBLIN
Household median gross income,"130 Pembroke West A, Dublin City",2016,Euro,"78,000.00",PEMBROKE WEST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"131 Pembroke West B, Dublin City",2016,Euro,"85,780.00",PEMBROKE WEST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"132 Pembroke West C, Dublin City",2016,Euro,"67,714.00",PEMBROKE WEST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"133 Rathfarnham, Dublin City",2016,Euro,"72,432.00",RATHFARNHAM,1,DUBLIN CITY,DUBLIN
Household median gross income,"134 Rathmines East A, Dublin City",2016,Euro,"63,520.00",RATHMINES EAST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"135 Rathmines East B, Dublin City",2016,Euro,"88,134.00",RATHMINES EAST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"136 Rathmines East C, Dublin City",2016,Euro,"79,917.00",RATHMINES EAST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"137 Rathmines East D, Dublin City",2016,Euro,"69,205.00",RATHMINES EAST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"138 Rathmines West A, Dublin City",2016,Euro,"44,478.00",RATHMINES WEST A,1,DUBLIN CITY,DUBLIN
Household median gross income,"139 Rathmines West B, Dublin City",2016,Euro,"48,247.00",RATHMINES WEST B,1,DUBLIN CITY,DUBLIN
Household median gross income,"140 Rathmines West C, Dublin City",2016,Euro,"67,974.00",RATHMINES WEST C,1,DUBLIN CITY,DUBLIN
Household median gross income,"141 Rathmines West D, Dublin City",2016,Euro,"54,690.00",RATHMINES WEST D,1,DUBLIN CITY,DUBLIN
Household median gross income,"142 Rathmines West E, Dublin City",2016,Euro,"60,649.00",RATHMINES WEST E,1,DUBLIN CITY,DUBLIN
Household median gross income,"143 Rathmines West F, Dublin City",2016,Euro,"54,702.00",RATHMINES WEST F,1,DUBLIN CITY,DUBLIN
Household median gross income,"144 Royal Exchange A, Dublin City",2016,Euro,"41,119.00",ROYAL EXCHANGE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"145 Royal Exchange B, Dublin City",2016,Euro,"28,367.00",ROYAL EXCHANGE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"146 St. Kevin's, Dublin City",2016,Euro,"49,822.00",ST. KEVIN'S,1,DUBLIN CITY,DUBLIN
Household median gross income,"147 South Dock, Dublin City",2016,Euro,"76,331.00",SOUTH DOCK,1,DUBLIN CITY,DUBLIN
Household median gross income,"148 Terenure A, Dublin City",2016,Euro,"57,234.00",TERENURE A,1,DUBLIN CITY,DUBLIN
Household median gross income,"149 Terenure B, Dublin City",2016,Euro,"61,432.00",TERENURE B,1,DUBLIN CITY,DUBLIN
Household median gross income,"150 Terenure C, Dublin City",2016,Euro,"84,266.00",TERENURE C,1,DUBLIN CITY,DUBLIN
Household median gross income,"151 Terenure D, Dublin City",2016,Euro,"96,130.00",TERENURE D,1,DUBLIN CITY,DUBLIN
Household median gross income,"152 Ushers A, Dublin City",2016,Euro,"67,561.00",USHERS A,1,DUBLIN CITY,DUBLIN
Household median gross income,"153 Ushers B, Dublin City",2016,Euro,"38,143.00",USHERS B,1,DUBLIN CITY,DUBLIN
Household median gross income,"154 Ushers C, Dublin City",2016,Euro,"35,760.00",USHERS C,1,DUBLIN CITY,DUBLIN
Household median gross income,"155 Ushers D, Dublin City",2016,Euro,"36,346.00",USHERS D,1,DUBLIN CITY,DUBLIN
Household median gross income,"156 Ushers E, Dublin City",2016,Euro,"32,750.00",USHERS E,1,DUBLIN CITY,DUBLIN
